onset	duration	sample	value
0.426	n/a	213	250
0.484	n/a	242	135
8.5	n/a	4250	130
10.372	n/a	5186	251
10.432	n/a	5216	103
11.452	n/a	5726	101
12.352	n/a	6176	11
12.754	n/a	6377	12
13.154	n/a	6577	13
13.554	n/a	6777	14
13.954	n/a	6977	15
14.354	n/a	7177	98
14.754	n/a	7377	98
15.156	n/a	7578	98
15.556	n/a	7778	98
15.956	n/a	7978	16
16.756	n/a	8378	102
16.772	n/a	8386	251
17.786	n/a	8893	103
18.808	n/a	9404	101
19.708	n/a	9854	31
20.108	n/a	10054	32
20.508	n/a	10254	33
20.91	n/a	10455	34
21.31	n/a	10655	35
21.71	n/a	10855	36
22.51	n/a	11255	102
22.904	n/a	11452	252
23.922	n/a	11961	103
24.942	n/a	12471	101
25.842	n/a	12921	41
26.242	n/a	13121	42
26.644	n/a	13322	43
27.044	n/a	13522	44
27.444	n/a	13722	45
27.844	n/a	13922	98
28.244	n/a	14122	46
29.044	n/a	14522	102
29.208	n/a	14604	252
30.216	n/a	15108	103
31.236	n/a	15618	101
32.138	n/a	16069	21
32.538	n/a	16269	22
32.938	n/a	16469	23
33.338	n/a	16669	24
33.738	n/a	16869	25
34.138	n/a	17069	98
34.538	n/a	17269	98
34.94	n/a	17470	26
35.74	n/a	17870	102
36.116	n/a	18058	251
37.13	n/a	18565	103
38.152	n/a	19076	101
39.052	n/a	19526	81
39.452	n/a	19726	82
39.852	n/a	19926	83
40.254	n/a	20127	84
40.654	n/a	20327	85
41.054	n/a	20527	98
41.454	n/a	20727	86
42.254	n/a	21127	102
43.384	n/a	21692	252
44.406	n/a	22203	103
45.426	n/a	22713	101
46.328	n/a	23164	81
46.728	n/a	23364	98
47.128	n/a	23564	82
47.528	n/a	23764	83
47.928	n/a	23964	84
48.328	n/a	24164	85
48.73	n/a	24365	98
49.13	n/a	24565	86
49.93	n/a	24965	102
50.388	n/a	25194	251
51.402	n/a	25701	103
52.422	n/a	26211	101
53.322	n/a	26661	81
53.722	n/a	26861	98
54.124	n/a	27062	82
54.524	n/a	27262	83
54.924	n/a	27462	84
55.324	n/a	27662	85
55.724	n/a	27862	86
56.524	n/a	28262	102
57.404	n/a	28702	251
58.416	n/a	29208	103
59.436	n/a	29718	101
60.338	n/a	30169	71
60.738	n/a	30369	72
61.138	n/a	30569	73
61.538	n/a	30769	74
61.938	n/a	30969	75
62.338	n/a	31169	76
63.14	n/a	31570	102
64.228	n/a	32114	252
65.24	n/a	32620	103
66.262	n/a	33131	101
67.162	n/a	33581	11
67.562	n/a	33781	98
67.964	n/a	33982	12
68.364	n/a	34182	13
68.764	n/a	34382	14
69.164	n/a	34582	15
69.564	n/a	34782	98
69.964	n/a	34982	16
70.764	n/a	35382	102
71.976	n/a	35988	252
72.986	n/a	36493	103
74.008	n/a	37004	101
74.908	n/a	37454	21
75.308	n/a	37654	98
75.708	n/a	37854	22
76.108	n/a	38054	23
76.51	n/a	38255	24
76.91	n/a	38455	25
77.31	n/a	38655	98
77.71	n/a	38855	98
78.11	n/a	39055	26
78.91	n/a	39455	102
78.968	n/a	39484	251
79.982	n/a	39991	103
81.002	n/a	40501	101
81.904	n/a	40952	41
82.304	n/a	41152	98
82.704	n/a	41352	42
83.104	n/a	41552	43
83.504	n/a	41752	44
83.904	n/a	41952	45
84.304	n/a	42152	46
85.106	n/a	42553	102
85.8	n/a	42900	251
86.816	n/a	43408	103
87.838	n/a	43919	101
88.738	n/a	44369	71
89.138	n/a	44569	72
89.538	n/a	44769	73
89.938	n/a	44969	74
90.34	n/a	45170	75
90.74	n/a	45370	98
91.14	n/a	45570	76
91.94	n/a	45970	102
92.688	n/a	46344	252
93.702	n/a	46851	103
94.722	n/a	47361	101
95.622	n/a	47811	31
96.024	n/a	48012	98
96.424	n/a	48212	32
96.824	n/a	48412	33
97.224	n/a	48612	34
97.624	n/a	48812	35
98.024	n/a	49012	98
98.424	n/a	49212	36
99.226	n/a	49613	102
100.452	n/a	50226	251
101.468	n/a	50734	103
102.488	n/a	51244	101
103.388	n/a	51694	41
103.788	n/a	51894	42
